里程數,公路編,經度,緯度,E,N,工程處,工務段,日期,縣市別,鄉鎮區,村里,備註
0030K+300,台7線,121.35433900000,24.75096100000,285838.88299999997,2738240.41399999987,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0030K+400,台7線,121.35523700000,24.75106900000,285929.67999999999,2738252.61200000020,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0030K+500,台7線,121.35618900000,24.75119400000,286025.93199999997,2738266.70699999994,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0030K+600,台7線,121.35659400000,24.75048900000,286067.09899999999,2738188.72800000012,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0030K+700,台7線,121.35589100000,24.74986500000,285996.17400000000,2738119.42900000000,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0030K+800,台7線,121.35513900000,24.74928400000,285920.28000000003,2738054.87999999989,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0030K+900,台7線,121.35467500000,24.74852000000,285873.56800000003,2737970.13799999980,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0031K+000,台7線,121.35432400000,24.74786600000,285838.25400000002,2737897.60999999987,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0031K+100,台7線,121.35396300000,24.74722700000,285801.92300000001,2737826.74000000022,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0031K+200,台7線,121.35302500000,24.74694600000,285707.12800000003,2737795.37099999981,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0031K+300,台7線,121.35208600000,24.74666800000,285612.22999999998,2737764.33600000013,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0031K+400,台7線,121.35114600000,24.74639100000,285517.22999999998,2737733.41099999985,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0031K+500,台7線,121.35020600000,24.74611300000,285422.22999999998,2737702.37600000016,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0031K+600,台7線,121.34926300000,24.74584100000,285326.92499999999,2737672.00600000005,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0031K+700,台7線,121.34838100000,24.74545100000,285237.82199999999,2737628.58300000010,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0031K+800,台7線,121.34799400000,24.74467400000,285198.89700000000,2737542.42299999995,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0031K+900,台7線,121.34737800000,24.74403300000,285136.76899999997,2737471.26800000016,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0032K+000,台7線,121.34649800000,24.74367100000,285047.85900000000,2737430.94700000016,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0032K+100,台7線,121.34627300000,24.74282200000,285025.33899999998,2737336.85499999998,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0032K+200,台7線,121.34562100000,24.74219000000,284959.56500000000,2737266.68899999978,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0032K+300,台7線,121.34468800000,24.74192100000,284865.26699999999,2737236.65599999996,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0032K+400,台7線,121.34377300000,24.74208000000,284772.66899999999,2737254.03399999999,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0032K+500,台7線,121.34286100000,24.74226800000,284680.36800000002,2737274.62600000016,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0032K+600,台7線,121.34229300000,24.74180400000,284623.04200000002,2737223.08999999985,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0032K+700,台7線,121.34248500000,24.74097100000,284642.69400000002,2737130.87600000016,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0032K+800,台7線,121.34338000000,24.74067800000,284733.30699999997,2737098.64999999991,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0032K+900,台7線,121.34379900000,24.74009000000,284775.85300000000,2737033.62999999989,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0033K+000,台7線,121.34453700000,24.73966400000,284850.62199999997,2736986.63400000008,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0033K+100,台7線,121.34544900000,24.73988400000,284942.81199999998,2737011.23400000017,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0033K+200,台7線,121.34623300000,24.73977600000,285022.14600000001,2736999.47200000007,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0033K+300,台7線,121.34696000000,24.74036600000,285095.51799999998,2737065.00600000005,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0033K+400,台7線,121.34774800000,24.74010500000,285175.29999999999,2737036.29999999981,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0033K+500,台7線,121.34856400000,24.73997800000,285257.87599999999,2737022.44400000013,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0033K+600,台7線,121.34863300000,24.73909300000,285265.10499999998,2736924.43999999994,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0033K+700,台7線,121.34860000000,24.73831000000,285261.98800000001,2736837.70699999994,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0033K+800,台7線,121.34950200000,24.73815300000,285353.27299999999,2736820.54999999981,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0033K+900,台7線,121.35016200000,24.73798000000,285420.08399999997,2736801.55899999989,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0034K+000,台7線,121.35020500000,24.73708700000,285424.68699999998,2736702.66200000001,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0034K+100,台7線,121.35036400000,24.73620100000,285441.02100000001,2736604.57100000000,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0034K+200,台7線,121.35036400000,24.73530200000,285441.27600000001,2736504.99800000014,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0034K+300,台7線,121.35067000000,24.73446600000,285472.46700000000,2736412.48300000001,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0034K+400,台7線,121.35126300000,24.73374500000,285532.65800000000,2736332.77900000010,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0034K+500,台7線,121.35169500000,24.73294500000,285576.58600000001,2736244.28399999999,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0034K+600,台7線,121.35258400000,24.73273200000,285666.57600000000,2736220.92299999995,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0034K+700,台7線,121.35348800000,24.73269800000,285758.03300000000,2736217.39300000016,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0034K+800,台7線,121.35436700000,24.73245800000,285847.02000000002,2736191.04100000020,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0034K+900,台7線,121.35535300000,24.73244400000,285946.76699999999,2736189.74899999984,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0035K+000,台7線,121.35630700000,24.73239500000,286043.28700000001,2736184.57200000016,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0035K+100,台7線,121.35712200000,24.73189600000,286125.87500000000,2736129.51800000016,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0035K+200,台7線,121.35780900000,24.73125500000,286195.55699999997,2736058.70300000021,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0035K+300,台7線,121.35830000000,24.73049400000,286245.44699999999,2735974.54499999993,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0035K+400,台7線,121.35823000000,24.72971900000,286238.59000000003,2735888.68800000008,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0035K+500,台7線,121.35784500000,24.72909600000,286199.82400000002,2735819.58300000010,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0035K+600,台7線,121.35733100000,24.72851700000,286147.99400000001,2735755.31799999997,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0035K+700,台7線,121.35648800000,24.72823600000,286062.79499999998,2735723.97200000007,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0035K+800,台7線,121.35663700000,24.72739800000,286078.10999999999,2735631.19600000000,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0035K+900,台7線,121.35670000000,24.72660900000,286084.71100000001,2735543.82299999986,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0036K+000,台7線,121.35640400000,24.72576400000,286055.01000000001,2735450.15400000010,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0036K+100,台7線,121.35566300000,24.72526000000,285980.19199999998,2735394.13599999994,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0036K+200,台7線,121.35471900000,24.72505900000,285884.75099999999,2735371.62600000016,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
0036K+300,台7線,121.35379200000,24.72516100000,285790.94199999998,2735382.68099999987,一工處,復興工務段,2016/06/23,桃園市,復興區,高義村,
